name,country,date,review_score,review_header,review_body
paolo,IT,2 days ago,1,Account rejected without reason,"I tried to open an account with DigitalOcean and, after providing all the requested information, my application was rejected with no concrete explanation. Their response only mentioned some vague “security parameters” they cannot share — basically shutting me out without any transparency. It is absurd that a company that claims to be developer-friendly treats potential paying customers this way. I could have been a serious, loyal, and even promoting customer for their platform, but apparently they prefer to reject people without justification. On top of that, it’s not even straightforward to request the permanent deletion of personal data — which is unacceptable when it comes to privacy and compliance. If this is how DigitalOcean welcomes new users, I can only strongly advise others to stay away. There are far better and more respectful alternatives out there."
YaN CrowLeY,BR,2 days ago,1,Hosting Illegal & Abusive Content – Ignoring Victim Reports,"I am a victim of a serious violation of my privacy and personal rights, and DigitalOcean is currently hosting a website that is publishing explicit photos of me without my consent. The website exposes my full name, intimate images, and personal phone number, falsely associating me with prostitution. I never authorized the publication or use of any of this content. I contacted Cloudflare first, and they confirmed that DigitalOcean is the hosting provider behind this malicious site. I then attempted to notify DigitalOcean through their abuse contact form, but received no meaningful action or response. This situation is causing me extreme emotional distress and psychological harm. DigitalOcean is enabling the distribution of non-consensual pornography and personal data, which violates international laws including: Brazil’s LGPD (General Data Protection Law) Marco Civil da Internet (Brazilian Civil Rights Framework for the Internet) Brazilian Penal Code Art. 218-C (Non-consensual intimate content) International privacy and copyright laws I have already contacted lawyers and law enforcement. If DigitalOcean continues to allow this abuse through their infrastructure, I will take legal action directly against them for complicity. 🚨 I strongly advise others to avoid doing business with a company that ignores victims of abuse and hosts illegal content without accountability."
Nexbytes AI Automation,MY,3 days ago,5,Responsive and helpful.,
Yahya,PK,3 days ago,5,the team was very helpful,
Carlos Costa,BR,3 days ago,5,I likef the Quick reply and the chance…,I likef the Quick reply and the chance to extend my payment overdue.
Sadan Arshad,PK,4 days ago,5,Top notch customer support,"I have been using DigitalOcean for both personal and professional purposes. Apart from the great services they offer their customer support is also top notch. Timely, accurate and clear conversation by the support staff always."
kaffae ⠀,EG,4 days ago,5,Great pricing,"Great pricing, fantastic and timely support. Great service all-in-all"
Lisa Orozco,US,5 days ago,5,Quick response and information,"Quick response and information to correct our issue, many thanks!"
Administrator Ehorussia,RU,5 days ago,5,I was responsively and correctly helped…,I was responsively and correctly helped to understand the problem from the side of digitalocean and was accompanied step by step
Sahajan Miah,BD,5 days ago,5,excellent support…,DigitalOcean's support system stands as a reliable and multi-faceted resource for developers.
Marious,PL,6 days ago,5,One of the best cloud providers,"One of the best cloud providers, easy to use, affordable, excellent support. Takes a few moments to deploy a new resource."
Rich Puderbaugh,US,7 days ago,5,Prompt customer support in fixing my…,Prompt customer support in fixing my single sign on after Domain swap. Love DigitalOcean
Tyler MCCSoft,US,"Sep 7, 2025",5,I run a modest software company that…,I run a modest software company that uses DO to host applications for our clients. They worked with me and opened up the ports I needed after reviewing my case. On a weekend even. 5 stars.
иванКо,BG,"Sep 7, 2025",3,very money expensingive but good support,they are very money costing but they have very good supporting staff agents
Leandro Blodorn,AR,"Sep 5, 2025",5,Support ticket,"Opened a support ticket, they solved it quickly"
PAUL,GB,"Sep 5, 2025",5,Rock solid systems and helpful support…,Rock solid systems and helpful support at a good price
Jeff Stern,US,"Sep 5, 2025",3,Let me login with PassKeys,"Let me login with PassKeys, please! Customer for many years, has improved a lot, but still kind of janky with regular hardware failures in 2025. I removed a star for every hardware failure this past quarter. I mostly just came in here to ask for PassKey login. If you guys could just go ahead and implement that, that would terrific, mmkay."
Meshack Ekuwom,KE,"Sep 5, 2025",5,Technical expertise + Timely support,"Technical expertise in resolving the issue in a timely manner. The support staff was very helpful, patient and knew their stuff."
De Wet Blomerus,US,"Sep 5, 2025",5,DigitalOcean is a breath of fresh air…,"DigitalOcean is a breath of fresh air of simplicity. I recently interacted with support, and the first person to pick up the ticket just let me know that they forwarded it to the correct team, and after a reasonable amount of time passed, they informed me that it was done."
Luis Treviño,MX,"Sep 3, 2025",5,I'm greatfully surprised,"I'm greatfully surprised, (never used before), with the support of Digital Ocean. I needed some changes on the configuration of my droplet and the assistance and solution was realy fast. Just had to explain the problem I had, the assistance I needed and it was solved. No Problem at all."
Tim L,BR,"Sep 3, 2025",5,"Easy to use UI, comprehensive cloud services, good support.",DigitalOcean is just a great Cloud platform. Has pretty much all you need and still a easy to use interface. Their support is fast and helpful as well. And even the pricing is very good.
농부의꿈,KR,"Sep 3, 2025",5,Fast and helpful support,"The support team was very responsive and professional. My issue was resolved quickly, and the communication was clear and helpful. I appreciate the excellent service!"
Rosemary Martin,GB,"Sep 3, 2025",5,First Class-Outstanding Customer Service!,The service I received was second to none! - First Class! Absolutely outstanding service!
Ron Cowart,US,"Sep 2, 2025",1,I tried and tried to get help,"I signed on with DigitalOcean a couple of months ago. However, their service would not work for my needs, so I cancelled my account. After cancelling my account, they continued to charge me. So, I reached out to them and was assured I would not be charged further. Fine, I was happy. That is, right up until I was charged again. Bear in mind, I can't even login because I deleted all of my information after they said it was taken care of. I have filed several (have lost count) appeals to support and the solution is always the same. ""Destroy your bucket."" Folks, I don't have a bucket to destroy and I can't login to ANYTHING. Please, just cancel me out completely! The latter, above, was sent today. I was met with ""send a screenshot of what you are seeing."" I have grown tired of sending them screenshots when all I am asking is to STOP CHARGING ME....PLEASE!!!! I have decided to warn others, here, about how difficult DigitalOcean is making a simple request. God help anyone who needs serious assistance."
Olivier Cartaux PetLova Tag,FR,"Sep 2, 2025",5,Great support,"The support team was very responsive and helpful. They clearly explained the process, asked the right questions, and quickly resolved my request. I really appreciated the efficiency and professionalism."
sridhar m,BH,"Sep 2, 2025",5,faster and detailed response,
Roscoe,US,"Sep 1, 2025",5,Quick and easy support,Quick and easy support. I was having an issue/bug with my account and the support team fixed it super quickly. Definitely very easy and would recommend.
Zubair,NZ,"Sep 1, 2025",5,Servers are fast and reliable,Servers are fast and reliable. Excellent support.
Rostislav Pluzhnikov,AM,"Aug 31, 2025",5,The best cloud provider ever,
Emmanuel,GH,"Aug 31, 2025",5,Moving all my stuff here,Moving all my stuff here. DO is leaps and bound ahead of their competition
Alex Sheppard,GB,"Aug 29, 2025",4,"the perfect middle ground between ""the big 3"" and the lack of flexibility from simplistic web hosting","All around I would say DO provides a great service, it only falls short in the odd lack of feature, for which there are usually work arounds, and their support staff are quick to respond and very helpful in such incidents. For single-admins or smaller teams, it brings a much needed simplicity to hosting dev projects. with less faff and reading than the big 3 would have you do."
sam kim,KE,"Aug 27, 2025",5,Lightning-fast Response,I commend the quick response as well as the kindness and willingness to understand a problem and route them to relevant parties. The team also share useful resources that get you closer to solving or understanding a problem. Much appreciated :)
