name,country,date,review_score,review_header,review_body
Toufik,FR,1 days ago,5,Infrastructure Built for Trust and Precision,"I’ve only been using OVHcloud for a short time, but I’m already impressed by the clarity and structure of their platform. As someone involved in diagnostics and global deployments, I value transparency—and OVHcloud delivers that from the start. While I haven’t yet tested advanced features like PTR record handling or MAC/IP block mapping, the documentation and control panel suggest a well-designed and professional infrastructure. Everything I’ve interacted with so far has been consistent, responsive, and easy to navigate. Looking forward to exploring more and seeing how OVHcloud performs under real-world load. So far, it’s a promising start. Thank you for maintaining such high standards. I look forward to continuing to build and deploy with OVHcloud as a cornerstone of my infrastructure strategy."
Amine Darhoumi,TN,3 days ago,5,The team response quickly over tickets…,The team response quickly over tickets and even social medias. im using OVH services since 2012 and completely satisfied.
Mr Smith,GB,4 days ago,1,Good product terrible administration and support,"I've been with OVH for 9 years. I've had no problems with the actual product in that time. It has always worked well. What I dread is any interaction with their customer service and billing system because it's terrible. Their customer portal website looks impressive on the face of it but it just doesn't work properly. My latest problem, which is typical of the OVH experience, is paying for my renewal. First they told me that my automatic renewal had failed because I didn't have a payment method - despite the fact I've had the same card on my account for several years and never had a problem. It turns out that OVH had deleted the payment method themselves. I re-added it but I just get an error when I try to pay. My card is working fine everywhere else, my bank confirmed that they only declined one transaction from OVH (the automatic renewal) which was because the wrong expiry date had been used. The expiry date entered was definitely correct - it worked last year and I definitely entered it correctly when I re-added the card. Clearly there is (yet another) bug in their billing system. I raised a support ticket but the support staff don't read anything you tell them, they just keep repeating the same 'solution'. In their latest email they actually threatened to delete my account even despite me telling them three times that I am trying to pay but can't. And now there is a technical problem with their support ticket system which makes it impossible to update the ticket. I've really had enough. If you are looking for a cloud provider and have any sense you will go elsewhere instead of putting yourself through this."
Manuel,DE,5 days ago,2,Slow,what's the point of delivering the server in 5 minutes while delivering the needed windows key not for hours ? support not helpful at all
Ro Arthur,GR,5 days ago,1,Just go with Hetzner.,"They keep canceling your orders without explanation, and still charge you for them. Save yourself the frustration: go with Hetzner VPS. For just a few extra euros or dollars, you’ll get reliability, transparency, and the confidence that everything simply works."
MU Eagle,UA,5 days ago,5,Excellent Support from OVHcloud Claims Department,"I recently had an issue with my VPS (vps-ee4d74bd.vps.ovh.net) and contacted OVHcloud support. Thanks to Leticia from the Claims Department, my request was handled professionally and efficiently. The server was successfully replaced, and the previous contract was terminated as a one-time exception due to my specific circumstances in Ukraine, where the ongoing war has created very difficult financial conditions. The invoice was canceled. Communication was clear, and all steps were explained. I am very satisfied with the service and the level of support provided. Thank you for your assistance! Ticket Number: CS11504227"
Zeus TL,ES,6 days ago,5,I recently had a case open with…,"I recently had a case open with OVHCloud under ticket CS11501282, and I can honestly say I am very satisfied with the way it was handled. The support team was patient, attentive, and willing to carefully review my situation even though it was a bit unusual. What I appreciated the most was that they took the time to understand my problem and, after some back and forth, they offered me a fair and helpful solution. It made me feel valued as a customer, especially since I’ve been with OVHCloud for several years. This experience showed me that OVHCloud doesn’t just provide reliable infrastructure, but also takes customer satisfaction seriously when challenges come up. Thanks again to the support and claims team for their professionalism and willingness to go the extra mile."
Drunkpeacoak,GB,6 days ago,5,Very satisfied about the support,Very satisfied about the support . case nr CS11502133
CK Ng,SG,7 days ago,5,Good customer service,"Good customer service. Had a misunderstanding of the service purchased, and customer service promptly resolved the issue with no fuss. Recommended."
Coordenadas “Coordenadas ”,ES,7 days ago,5,Everything great,
Florin,RO,Updated 4 days ago,1,Just avoid them,"Just avoid them. Purchased a VPS on Sep 3rd. Got an email some hours later that they cancelled my order for a vague reason: either inaccurate personal details, or related to the payment method. I paid with PayPal. I replied asking what else do they need. I proceeded to give them my zodiac sigh, eye color, and shoe size hoping they'll then be happy. I asked for either access to the VPS or a refund. It's Sep 8th now, and I've gotten no response, VPS, or refund. Very professional. I logged into PayPal to open a dispute only to find they didn't take the money but placed an authorization hold on the funds. If they cancelled the order 5 days ago, why didn't they release the hold as well? Jackasses. Reply to OVH’s reply: I responded to the info request with the account identifier. Curios what the reason for the poor experience is. Either way, for the record, I no longer want to purchase anything from you. I wasted enough time and energy on this."
mason lool,GB,"Sep 7, 2025",5,The support at OVHCloud is the best,"The support at OVHCloud is the best. You won't get any better support. Thank you Aldair for helping me today you have been a pleasure to talk to, you answered all my questions."
Bnei Baruch Kabbalah Laam,IL,"Sep 7, 2025",5,Fast service that meets our needs,
Sebastian Gronski,PL,"Sep 7, 2025",1,terriable support,
Patiphong,TH,"Sep 6, 2025",5,Glad to work with a human being,"Glad to work with a human being, not AI. Appreciated for more than 10 years since becoming a programmer. Recommended for any newbie as you will have a good support for your servers"
Chris Hart,CA,"Sep 5, 2025",5,Professional customer service,Joanna B. helped me resolve a billing issue. Thanks :) Ticket number CS11507126
My Channel,LK,"Sep 4, 2025",1,No way of communication!!!,"Purchased an VPS, order got cancelled personal detail inaccuracy, but I dont know what’s wrong. They have my contact number emails to verify. biggest problem is I cannot reply to any their mail, can’t create a support ticket unless I have active product. NO EMAILS AVAILABLE, NO LIVE CHAT EVEN IN BUSINESS HOURS."
Mark Hutchinson,GB,"Sep 4, 2025",1,"OVH SLA's are NOT real, unless you pay more £££ for premium levels of support!","We have been using OVH for circa 12 years now, for the first 7-8 years support was good but over the last 5 years it has deteriorated significantly. Expect 20 HOUR RESPONSE TIMES to all support tickets (including server outages) UNLESS YOU ARE PREPARED TO PAY A LOT MORE FOR PREMUIM SUPPORT LEVELS. The SLA's you see for servers/cloud instances at point of ordering on their website are NOT what you are getting as standard - YOU NEED TO PAY EXTRA TO GET THESE!"
Jey,FR,"Sep 4, 2025",5,Problem solved in about 5 minutes !,Problem solved in about 5 minutes ! Greate intervention from Victor on the ticket CS11507605. He resolved my problem immediatly and i was able to continue my process. I was pleasantly surprised by the efficacy of the support team. Great job guys!
