name,country,date,review_score,review_header,review_body
Fluffy Cookie,PL,"Sep 4, 2025",5,I have never had any problems with…,"I have never had any problems with Scaleway. This has been the case for a long time. Although I only use Object Storage, the service is reliable. It works as it should. The data is simply there, and I have never encountered any problems retrieving it. And most importantly... Scaleway is not affiliated with the US."
Rafael,LT,"Aug 30, 2025",1,"On going server that I've been paying for years suddenly went ""our of stock""","So I've been paying for their server and one day I just needed to reinstall my OS but I was not able to do that. I contacted support and they send me a message that server all of the sudden is ""out of stock"" but I have paid for it and never stopped paying. Then they told me to order another server which is crazy. I simply cannot understand how the server that you paid for and never stopped paying goes ""out of stock""."
Thomas CLEMENT,FR,"Aug 19, 2025",1,Support do not exist,"I have an issue with their service, which they deactivated without notifying me, and the support team hasn’t responded for several months."
Ram,FR,"Aug 19, 2025",1,Failures of servers and lost data,"I've been a loyal client of Scaleway for 10+ years at the times when they were Online.net. And they were good. But since they became Scaleway year by year they get worse and worse. I'm administrator of several dediboxes (dedicated servers) for my clients. I've seen lots of unprofessional things: one of my servers stopped working because their IT guy accidentally powered off our server thinking it was the one that was requested for technical maintenance. We had an issue when the payment was not accepted for the first time, then we fixed the payment method and asked the support to confirm that. They confirmed everything is OK and the payment was made. But then they deleted our server and all backups (at their additional FTP space) because ""we didn't pay in time for the services"". And after 2 months of communication they did not had courage to say that it was their mistake or that they provided a wrong consulting regarding the payment information. But all the communication we had were in written form in the ticketing system so it was easy for them to read and analyze our communication, But it seems they have zero quality service department. In the last 3 years I had 4 servers destroyed. They just break down without any prior warnings. We have Zabbix monitoring configured with temperature, S.M.A.R.T. and other stats, but that does not help to predict a servers' failure. And the support says that the servers are not repairable. So you have only option to buy a new dedibox and restore your backups if you made them. At the recent hardware failure the support told me that all starting lines of their servers have very old hardware that can break at any minute and they say to use a higher end servers. Surprisingly they never mention that when you put an order for the starting lines of their servers. They don't inform you that this is a very old hardware that has very high risks of failure, unrepairable, and the user should take the risks. No, they don't do that. They simply want your money and fool you around. Of course in all these situations the support was very unhelpful. Maximum what the offered is a refund for the active month for the server in question. They were super unhelpful and their style of communication sounds like ""it's your problem, man, not ours, stop bothering us!"". In the past I recommended this company, but now it's a total disaster. Never ever deal with it."
Ihtsham Asmat,DE,"Aug 6, 2025",1,scammy hostile company,"Scathing Review of Scaleway: Dishonest Billing & Terrible Support I signed up for a free trial with Scaleway, hoping to test their cloud services. However, when I decided not to continue, I was shocked to find no clear cancellation option—instead, I had to manually delete all resources to avoid charges. Despite taking precautions, I was unexpectedly charged €139 for the first month. When I contacted support for a refund, their response was unbelievably cold and dismissive. They refused to refund me, even though: - Their cancellation process is misleading (no direct ""cancel subscription"" button). - Many other cloud providers (AWS, DigitalOcean, Linode) offer refunds in goodwill cases. - Their support agent rudely insisted they’d keep charging me for the next month, even after I explicitly wanted to cancel. Final Verdict: Avoid Scaleway at All Costs This company has: ❌ Deceptive billing practices (hidden charges, unclear cancellation). ❌ Terrible customer support (zero empathy, refusal to help). ❌ No respect for customers (many others report similar issues). If you value transparency, fairness, and decent support, stay far away from Scaleway. There are far better alternatives (Hetzner, AWS, DigitalOcean) that actually treat customers with respect. Rating: ★☆☆☆☆ (1/5) – A scammy, customer-hostile company."
Ols D,NO,"Jul 2, 2025",1,"Bad service, constantly goes down","When we learn IT, the first thing we learn is to have offsite backups for services and databases. This is something ScaleWay completely fails at. A few times this year we've lost access to our K8 services (we host multiple clients). Yesterday one of our clients had a major event. All our services were down because of ScaleWay. There had no empathy in the situation. They cannot do simple IT, do not trust them. They cannot do simple offsite services and backups."
Dewlance,IN,"Apr 30, 2025",1,Unprofessional company,"Waste of time. I uploaded my ID as instructed on their website, but they asked me to upload it again, claiming it was blurry. Wasted two days."
Chuan Yuan,GB,"Mar 3, 2025",1,Unuseable,Unuseable Rent a Mac M2 in 2025 for a few hours and it cost me €40
Hugo Freire,ES,"Feb 9, 2025",1,Force to stay on servers more hours than you want,"They say I can manage servers for hours, but after try to stop one of them, they force me to wait for 24hours, this is not included in any notification screen. Also after cancel the account the span the time to 24hours more."
Bob,MX,"Jan 27, 2025",1,avoid,avoid. criminals are running this service
Ebloz,ES,"Jan 14, 2025",1,Frustrating experience,"With Scaleway, everything becomes a frustrating experience. Yes, they are about the cheapest hosting provider you will find in Europe, but you get what you pay for. Here's an excerpt of the miserable state that Scaleway is in: 1. Impossible to run an email service on their servers. Most of their IPs have a really bad standing with a lot of the email blacklists. Therefore emails sent from a Scaleway host will bounce for a lot of destinations. They simply don't care to work with these blacklists in order to have a clean standing. 2. They won't let you downgrade a business account to a personal one. E.g. if you shut down your company and become a freelancer. A simple thing to do on about any website. Not with Scaleway. Their solution: delete your business account and create a new personal account. Of course that means that you have to order all services again and set them up from scratch. 3. Most frustrating support experience. They tell you that department X will appoach you about an issue. After a week of waiting you point out that you haven't been contacted, to which they respond that they will not approach you after all. They don't respect your time. Pay a bit more and get a reputable provider."
Aaron,GB,"Jan 10, 2025",1,Don’t purchase!,"Don’t purchase! Scaleway’s object storage with 'Edge Pipelines' doesn’t automatically disable the pipeline when you delete the bucket. If you spin up a bucket, attach an edge pipeline for accelerated egress, and later delete the bucket, you’d reasonably expect the associated pipeline to be removed. Not with Scaleway! Instead, they keep the pipeline active (and bill you for it), without any clear notice. To make matters worse, you’ll need to dig through their billing system just to figure out where the charges are coming from. And here’s the kicker—you can’t stop the pipeline without having the original bucket. So, you’re forced to recreate the bucket just to remove the pipeline! When I raised this with support, I was told that it’s somehow my responsibility to know this. This behavior is inconsistent with other parts of their service, where they don’t let you delete the parent resource without first deleting all dependent components. From this point, I would completely steer clear of these either idiotic or predatory schemes."
Thomas Flassbeck,FR,"Dec 27, 2024",1,bugged website and security issues,services have some glaring security issues that are not being fixed. account deletion is bugged so you will receive invoices months after deleting the account for services you never used.
